@realDonaldTrump,11/20/2017,"The plane I saw on television was the hostage plane in Geneva, Switzerland, not the plane carrying $400 million in cash going to Iran!"
@realDonaldTrump,10/1/2017,President Obama refuses to answer question about Iran terror funding.  I won't dodge questions as your President. https://t.co/jsAMGO3s4P
@realDonaldTrump,10/10/2016,"Obama's disastrous judgment gave us ISIS, rise of Iran, and the worst economic numbers since the Great Depression!"
@realDonaldTrump,12/29/2016,President Obama should ask the DNC about how they rigged the election against Bernie.
@realDonaldTrump,8/1/2017,"See you tomorrow w/ Gov. @Mike_Pence, Iowa &amp; Wisconsin! 
3pm- https://t.co/3Hcnzj0Slx
7pm- https://t.co/sEwLWkn1Sz https://t.co/UODSMp0oTo"
@realDonaldTrump,1/26/2016,"Thank you Portland, Maine! 
#MakeAmericaGreatAgain 
https://t.co/oVfF28rWL5 https://t.co/RhblAXkNPw"
@realDonaldTrump,12/2/2016,Happy 226th Birthday to the United States Coast Guard. Thank you @USCG! #CoastGuardDay https://t.co/hr4O8Xgq2R
@realDonaldTrump,3/8/2016,"Great meeting all of you. This group knocked on 50K doors &amp; counting here in Maine, thank you! @MaineGOP  https://t.co/Iui1F2z9ca"
@realDonaldTrump,6/24/2016,"Looking forward to IA &amp; WI with Gov. Pence, tomorrow. Join us! #MAGA
https://t.co/3Hcnzj0Slx
https://t.co/sEwLWkn1Sz https://t.co/0Ei3EdQdXB"
@realDonaldTrump,1/11/2017,"Thank you Jacksonville, Florida!
#MakeAmericaGreatAgain 
https://t.co/xrTQjt9WOC https://t.co/VSnBoQYoZs"
@realDonaldTrump,10/7/2017,"Thank you for your support of my candidacy! #MAGA #ImWithYou 
https://t.co/Al5bZlRFYk"
@realDonaldTrump,8/4/2017,"Thank you to the amazing law enforcement officers today- in Daytona Beach, Florida! #LESM #MAGA https://t.co/QoxJf4Xzbc"
@realDonaldTrump,7/21/2017,"THANK YOU Daytona Beach, Florida!
#MakeAmericaGreatAgain https://t.co/IAcLfXe463"
@realDonaldTrump,6/9/2017,"Our incompetent Secretary of State, Hillary Clinton, was the one who started talks to give 400 million dollars, in cash, to Iran. Scandal!"
@realDonaldTrump,9/7/2017,"There is great unity in my campaign, perhaps greater than ever before. I want to thank everyone for your tremendous support. Beat Crooked H!"
@realDonaldTrump,5/1/2017,Great day in Virginia. Crowd was fantastic!
@realDonaldTrump,9/13/2016,My daughter @IvankaTrump will be on @Greta tonight at 7pm. Enjoy! https://t.co/QySC5PLFMy
@realDonaldTrump,5/27/2017,Report raises questions about ‘Clinton Cash’ from Russians during ‘reset' https://t.co/vVcAzY2zcp
@realDonaldTrump,6/5/2016,President Obama will go down as perhaps the worst president in the history of the United States!
@realDonaldTrump,5/31/2016,"#ICYMI: John Podesta’s Brother Pocketed $180,000 from Putin’s Uranium Company: https://t.co/d0LfyiBlvX https://t.co/I5fF3didZs"
@realDonaldTrump,10/29/2017,#CrookedHillary https://t.co/xe0I0EmxMa
@realDonaldTrump,4/5/2016,"Join me in Florida tomorrow! 
#MakeAmericaGreatAgain 

Daytona | 3pm- 
https://t.co/jbOS2s4qGI

Jacksonville | 7pm- 
https://t.co/XSF1kp7R54"
@realDonaldTrump,7/27/2017,STATEMENT IN RESPONSE TO PRESIDENT OBAMA'S FAILED LEADERSHIP: https://t.co/SPgFIFuSO7
@realDonaldTrump,2/16/2016,Thank you Virginia! #ImWithYou https://t.co/9inCh1BVwM
@realDonaldTrump,2/20/2017,The Washington Post calls out #CrookedHillary for what she REALLY is. A PATHOLOGICAL LIAR! Watch that nose grow! https://t.co/FsrUGByuuD
@realDonaldTrump,3/25/2017,Great afternoon in Ohio &amp; a great evening in Pennsylvania - departing now. See you tomorrow Virginia! https://t.co/jQTQYBFpdb
@realDonaldTrump,11/22/2017,"Just leaving Mechanicsburg, PA. Incredible crowd-- so enthusiastic! Will be back soon. #MAGA https://t.co/RbuXfDZ5w9"
@realDonaldTrump,10/16/2017,Vast numbers of manufacturing jobs in Pennsylvania have moved to Mexico and other countries. That will end when I win!
@realDonaldTrump,1/28/2017,"Thanks to @pnehlen for your kind words, very much appreciated."
@realDonaldTrump,5/1/2017,"Join me in Florida on Wednesday! Daytona &amp; Jacksonville:

Daytona | 3pm- https://t.co/rJjYUbwiLL
Jacksonville | 7pm- https://t.co/zfxeNbr1nq"
@realDonaldTrump,10/19/2017,"During the GOP convention, CNN cut away from the victims of illegal immigrant violence. They don’t want them heard. https://t.co/EHRiLkQDWD"
@realDonaldTrump,6/9/2017,When will CNN do a segment on Hillary’s plan to increase Syrian refugees 550% and how much it will cost?
@realDonaldTrump,3/10/2017,Hillary Clinton raked in money from regimes that horribly oppress women and gays &amp; refuses to speak out against Radical Islam.
@realDonaldTrump,12/25/2016,"Hillary, whose decisions have led to the deaths of many, accepted $ from a business linked to ISIS. Silence at CNN. https://t.co/gJYSSXtpaz"
@realDonaldTrump,11/30/2016,Crooked Hillary Clinton is 100% owned by her donors. #ImWithYou #MAGA https://t.co/iYM3CCWS2z
@realDonaldTrump,4/27/2016,"Thank you Columbus, Ohio! I will be back soon. #ImWithYou #MAGA https://t.co/vMf1EPJp4r"
@realDonaldTrump,3/19/2016,"Thank you Oklahoma &amp; Virginia! 
#MakeAmericaGreatAgain #ImWithYou https://t.co/WUdY7feRvV"
@realDonaldTrump,5/6/2017,People believe CNN these days almost as little as they believe Hillary....that's really saying something!
@realDonaldTrump,10/1/2016,"The people who support Hillary sit behind CNN anchor chairs, or headline fundraisers - those disconnected from real life."
@realDonaldTrump,9/16/2016,Will CNN send its cameras to the border to show the massive unreported crisis now unfolding -- or are they worried it will hurt Hillary?
@realDonaldTrump,10/7/2017,When will we see stories from CNN on Clinton Foundation corruption and Hillary's pay-for-play at State Department?
@realDonaldTrump,8/6/2016,"CNN anchors are completely out of touch with everyday people worried about rising crime, failing schools and vanishing jobs."
@realDonaldTrump,8/15/2016,CNN will soon be the least trusted name in news if they continue to be the press shop for Hillary Clinton.
@realDonaldTrump,4/3/2017,"Join Governor Mike Pence in Reno, Nevada- tonight at 7pm! Tickets available at: https://t.co/4nLjRGyFYw"
@realDonaldTrump,11/14/2017,"#CrookedHillary 
https://t.co/oHI6xrDJU0"
@realDonaldTrump,1/4/2017,"So with all of the Obama tough talk on Russia and the Ukraine, they have already taken Crimea and continue to push. That's what I said!"
@realDonaldTrump,5/5/2017,"When I said in an interview that Putin is ""not going into Ukraine, you can mark it down,"" I am saying if I am President. Already in Crimea!"
@realDonaldTrump,10/11/2016,"This story is not about Mr. Khan, who is all over the place doing interviews, but rather RADICAL ISLAMIC TERRORISM and the U.S. Get smart!"
@realDonaldTrump,4/12/2016,"Mr. Khan, who does not know me, viciously attacked me from the stage of the DNC and is now all over T.V. doing the same - Nice!"
@realDonaldTrump,3/25/2017,"Wow, it is unbelievable how distorted, one-sided and biased the media is against us. The failing @nytimes is a joke. @CNN is laughable!"
